                                  SITUATIA MATERIALELOR

                                                                                                             
ADM PIETELOR PITESTI -  -   -  -   -                                                                         

CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|   63| BON VAL FIXA INTR AUTO 40000             |   10496|   car    |  NOU  |      30126.76 |    569.000|      17142126 | 16|UZ| 1|36| 3| 1|
|   64| SILICON                                  |   10574|   buc    |  NOU  |     105042.00 |      3.000|        315126 | 16|UZ| 1|50| 3| 1|
|   65| DETERGENT OMO AUT                        |   10585|    kg    |  NOU  |      47950.00 |    240.000|      11508000 | 16|UZ| 1|50| 3| 1|
|   66| SACI FOLIE 1200/1100                     |   10591|   buc    |  NOU  |      11000.00 |   3000.000|      33000000 | 16|UZ| 1|50| 3| 1|
|   67| BON VAL.FIXA 50000LEI/FILA               |   10592|   car    |  NOU  |      28015.80 |     10.000|        280158 | 16|UZ| 1|36| 3| 1|
|   68| BON VAL.FIXA 12000LEI/FILA               |   10593|   car    |  NOU  |      28700.00 |      2.000|         57400 | 16|UZ| 1|36| 3| 1|
|   69| DETERG.SONEGO SUPER-PT PIETE             |   10595|    kg    |  NOU  |      21000.00 |   1230.000|      25830000 | 16|UZ| 1|50| 3| 1|
|   70| BON VALOARE FIXA                         |   10903|   car    |  NOU  |      14243.50 |      4.000|         56974 | 16|UZ| 1|36| 3| 1|
|   71| SAPUN                                    |   10955|   buc    |  NOU  |       3500.00 |    130.000|        455000 | 16|UZ| 1|50| 3| 1|
|   72| CALGON AUTOMAT                           |   10958|   buc    |  NOU  |     212000.00 |     24.000|       5088000 | 16|UZ| 1|50| 3| 1|
|   73| BECURI COLORATE                          |   10961|   buc    |  NOU  |      15000.00 |    200.000|       3000000 | 16|UZ| 1|50| 3| 1|
|   74| SIRMA                                    |   10962|    kg    |  NOU  |      28571.00 |     15.000|        428565 | 16|UZ| 1|50| 3| 1|
|   75| BON DE CONSUM                            |   10963|   car    |  NOU  |       6722.65 |     88.000|        591593 | 16|UZ| 1|36| 3| 1|
|   76| BON CU VALOARE FIXA                      |   10964|   car    |  NOU  |      12555.74 |     23.000|        288782 | 16|UZ| 1|36| 3| 1|
|   77| CHIT.INCHIR.OBIECTE                      |   10965|   car    |  NOU  |      37815.12 |    118.000|       4462184 | 16|UZ| 1|36| 3| 1|
|   78| CHITANTA COD 14-4-1                      |   10966|   set    |  NOU  |      37815.13 |     88.000|       3327731 | 16|UZ| 1|36| 3| 1|
|   79| FOI PARCURS                              |   10967|   car    |  NOU  |      13865.50 |      6.000|         83193 | 16|UZ| 1|36| 3| 1|
|   80| FACTURI FISCALE A                        |   10968|   set    |  NOU  |       2810.92 |   1500.000|       4216380 | 16|UZ| 1|36| 3| 1|
|   81| FACTURI FISCALE A6                       |   10969|   car    |  NOU  |      50000.00 |     42.000|       2100000 | 16|UZ| 1|36| 3| 1|
|   82| NIR                                      |   10970|   buc    |  NOU  |      14705.60 |      5.000|         73528 | 16|UZ| 1|36| 3| 1|
|   83| REG. DE CASA                             |   10972|   buc    |  NOU  |      14705.83 |      6.000|         88235 | 16|UZ| 1|36| 3| 1|
|   84| CONDICII PREZENTA                        |   10973|   buc    |  NOU  |      13865.55 |     20.000|        277311 | 16|UZ| 1|36| 3| 1|
