                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|   77|   30527| DOCUMENT CUMULATIV A4                   | buc        | NOU     |   100    |    0     |    0     |   100    |         16554 |               |               |         16554 |
|   78|   30528| DOCUMENT CUMULATIV A4                   | buc        | NOU     |    1     |    0     |    0     |    1     |         15700 |               |               |         15700 |
|   79|   30529| HARTIE IMPRIMANTA A3-1EXEMPLAR          | buc        | NOU     |    3     |    0     |    0     |    3     |       1149071 |               |               |       1149071 |
|   80|   30531| PASTA CORECTOARE                        | buc        | NOU     |    4     |    0     |    0     |    4     |         40772 |               |               |         40772 |
|   81|   30532| ELASTIC PUNGUTA                         | buc        | NOU     |    10    |    0     |    0     |    10    |        129579 |               |               |        129579 |
|   82|   30533| PIX CENTRUM PIONNER                     | buc        | NOU     |    50    |    0     |    0     |    50    |         81009 |               |               |         81009 |
|   83|   30534| PIX BIC PRISMA BALL                     | buc        | NOU     |    50    |    0     |    0     |    50    |         81009 |               |               |         81009 |
|   84|   30535| PIX SCHNEIDER                           | buc        | NOU     |    15    |    0     |    0     |    15    |        169063 |               |               |        169063 |
|   85|   30536| PIX REYNOLDS                            | buc        | NOU     |    15    |    0     |    0     |    15    |        169063 |               |               |        169063 |
|   86|   30538| CORP STM                                | buc        | NOU     |    30    |    0     |    0     |    30    |      10460743 |               |               |      10460743 |
