

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   176|    640700   |             |MASA PRELUCRARE CARNE                   |  ,  ,  |  ,  ,  |  ,  ,  |
|   177|    640701   |             |MASA PRELUCRARE LEGUME                  |  ,  ,  |  ,  ,  |  ,  ,  |
|   178|    640702   |             |RASTEL INOX CU 4 RAFTURI                |  ,  ,  |  ,  ,  |  ,  ,  |
|   179|    640703   |             |RASTEL INOX CU 4 RAFTURI 1800*580*2000MM|  ,  ,  |  ,  ,  |  ,  ,  |
|   180|    640704   |             |DULAP VERTICAL CU 2 USI GLISANTE*       |  ,  ,  |  ,  ,  |  ,  ,  |
|   181|    640705   |             |MASA DE LUCRU CU REBORD SI 2 SERTARE*   |  ,  ,  |  ,  ,  |  ,  ,  |
|   182|    640706   |             |RASTEL INOX CU 4 RAFTURI*               |  ,  ,  |  ,  ,  |  ,  ,  |
|   183|    640707   |             |SISTEM CLIMAT.VRV/VRF TOSHIBA PART.PAV.A|10,  ,  |  ,  ,  |  ,  ,  |
|   184|    640708   |             |CONTAINER TIP ADMINISTRATIV III         |12,  ,  |  ,  ,  |  ,  ,  |
|   185|    640709   |             |CONTAINER TIP ADMINISTRATIV III/1       |12,  ,  |  ,  ,  |  ,  ,  |
|   186|    640710   |             |CONTAINER TIP INTERMEDIAR III/2         |12,  ,  |  ,  ,  |  ,  ,  |
|   187|    640711   |             |CONTAINER TIP HOL INTERMEDIAR III       |12,  ,  |  ,  ,  |  ,  ,  |
|   188|    640712   |             |SCARI ACCES CU BALUSTRADA SI PLATF.II   |12,  ,  |  ,  ,  |  ,  ,  |
|   189|    640713   |             |CONTAINER TIP ADMINISTRATIV IV          |12,  ,  |  ,  ,  |  ,  ,  |
|   190|    640714   |             |CONTAINER TIP HOL INTERMEDIAR IV        |12,  ,  |  ,  ,  |  ,  ,  |
|   191|    640715   |             |CONTAINER TIP GRUP SANITAR CU DUS       |12,  ,  |  ,  ,  |  ,  ,  |
|   192|    640716   |             |CONTAINER TIP ADMINISTRATIV V           |12,  ,  |  ,  ,  |  ,  ,  |
|   193|    640717   |             |CONTAINER TIP ADMINISTRATIV I           |12,  ,  |  ,  ,  |  ,  ,  |
|   194|    640718   |             |CONTAINER TIP ADMINISTRATIV I/1         |12,  ,  |  ,  ,  |  ,  ,  |
|   195|    640719   |             |CONTAINER TIP ADMINISTRATIV I/2         |12,  ,  |  ,  ,  |  ,  ,  |
|   196|    640720   |             |CONTAINER TIP ADMINISTRATIV I/3         |12,  ,  |  ,  ,  |  ,  ,  |
|   197|    640721   |             |CONTAINER TIP ADMINISTRATIV I/4         |12,  ,  |  ,  ,  |  ,  ,  |
|   198|    640722   |             |CONTAINER TIP ADMONISTRATIV I/5         |12,  ,  |  ,  ,  |  ,  ,  |
|   199|    640723   |             |CONTAINER TIP ADMINISTRATIV I/6         |12,  ,  |  ,  ,  |  ,  ,  |
|   200|    640724   |             |CONTAINER TIP ADMINISTRATIV I/7         |12,  ,  |  ,  ,  |  ,  ,  |
|   201|    640725   |             |CONTAINER TIP ADMINISTRATIV I/8         |12,  ,  |  ,  ,  |  ,  ,  |
|   202|    640726   |             |CONTAINER ADMINISTRATIV I/9             |12,  ,  |  ,  ,  |  ,  ,  |
|   203|    640727   |             |CONTAINER TIP ADMINISTRATIV I/10        |12,  ,  |  ,  ,  |  ,  ,  |
|   204|    640728   |             |CONTAINER TIP ADMINISTRATIV I/11        |12,  ,  |  ,  ,  |  ,  ,  |
|   205|    640729   |             |CONTAINER TIP HOL CU FEREASTRA          |12,  ,  |  ,  ,  |  ,  ,  |
|   206|    640730   |             |CONTAINER TIP HOL CU 2 USI              |12,  ,  |  ,  ,  |  ,  ,  |
|   207|    640731   |             |CONTAINER TIP HOL INARMEDIAR I          |12,  ,  |  ,  ,  |  ,  ,  |
|   208|    640732   |             |CONTAINER TIP ADMINISTRATIV II          |12,  ,  |  ,  ,  |  ,  ,  |
|   209|    640733   |             |CONTAINER TIP ADMINISTRATIV II/1        |12,  ,  |  ,  ,  |  ,  ,  |
|   210|    640734   |             |CONTAINER TIP ADMINISTRATIV II/2        |12,  ,  |  ,  ,  |  ,  ,  |
|   211|    640735   |             |CONTAINER TIP ADMINISTRATIV II/3        |12,  ,  |  ,  ,  |  ,  ,  |
|   212|    640736   |             |CONTAINER TIP ADMINISTRATIV II/4        |12,  ,  |  ,  ,  |  ,  ,  |
|   213|    640737   |             |CONTAINER TIP ADMINISTRATIV II/5        |12,  ,  |  ,  ,  |  ,  ,  |
