                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   60|  300097| SISTEM DE CALCUL P4/9                   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1639.51 |          0.00 |          0.00 |       1639.51 |
|   61|  300098| SISTEM DE CALCUL P II FUJITSU           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |        150.00 |          0.00 |          0.00 |        150.00 |
|   62|  300099| COMPUTER ALPIS INTEL CORE 2 DUO         | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   63|  300100| COMPUTER ALPIS INTEL CORE 2 DUO/1       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   64|  300101| COMPUTER ALPIS INTEL CORE 2 DUO/2       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   65|  300102| COMPUTER INTEL CORE 2 DUO/3             | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   66|  300103| COMPUTER ALPIS INTEL CORE 2 DUO/4       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   67|  300104| COMPUTER ALPIS INTEL CORE 2 DUO/5       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   68|  300105| COMPUTER ALPIS INTEL CORE DUO/6         | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   69|  300106| COMPUTER ALPIS CORE DUO/7               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   70|  300107| COMPUTER ALPIS INTEL CORE DUO/8         | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
|   71|  300108| COMPUTER ALPIS INTEL CORE 2 DUO/9       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3406.00 |          0.00 |          0.00 |       3406.00 |
