

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   182|     20290   |             |CLESTE COMBINAT                         |10,  ,  |  ,  ,  |  ,  ,  |
|   183|     20291   |             |SET LENJERIE PAT                        |10,  ,  |  ,  ,  |  ,  ,  |
|   184|     20292   |             |LUSTRA CU VENTILAT/5 PAL.               |10,  ,  |  ,  ,  |  ,  ,  |
|   185|     20293   |             |DRAPELE MATASE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   186|     20294   |             |PATURI LINA                             |10,  ,  |  ,  ,  |  ,  ,  |
|   187|     20295   |             |GARNIT LENJ 2 PER                       |10,  ,  |  ,  ,  |  ,  ,  |
|   188|     20296   |             |TABLOU ELECTRIC C 3                     |10,  ,  |  ,  ,  |  ,  ,  |
|   189|     20297   |             |HUSE SALTELE 90X190                     |10,  ,  |  ,  ,  |  ,  ,  |
|   190|     20298   |             |HUSE SALTELE 120X190                    |10,  ,  |  ,  ,  |  ,  ,  |
|   191|     20299   |             |GRILAJ USI SMIRD.35KG/BUC               |10,  ,  |  ,  ,  |  ,  ,  |
|   192|     20300   |             |CANCIOG                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   193|     20301   |             |PREFABRICATE BETON                      |10,  ,  |  ,  ,  |  ,  ,  |
|   194|     20302   |             |LUSTRA CU VENTILATOR                    |10,  ,  |  ,  ,  |  ,  ,  |
|   195|     20303   |             |PISTOL LIPIT                            |10,  ,  |  ,  ,  |  ,  ,  |
|   196|     20307   |             |DISPOZITIV TAIAT FAIANTA                |10,  ,  |  ,  ,  |  ,  ,  |
|   197|     20308   |             |TOMBEROANE GUNOI                        |10,  ,  |  ,  ,  |  ,  ,  |
|   198|     20309   |             |COLTAR-BIROU                            |10,  ,  |  ,  ,  |  ,  ,  |
|   199|     20310   |             |SUPORT CIRLIGE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   200|     20312   |             |CEAS REDUCTOR BUTELIE                   |10,  ,  |  ,  ,  |  ,  ,  |
|   201|     20313   |             |ARAGAZ 2 OCHIURI                        |10,  ,  |  ,  ,  |  ,  ,  |
|   202|     20314   |             |BUTELIE ARAGAZ                          |10,  ,  |  ,  ,  |  ,  ,  |
|   203|     20315   |             |POMPA ZUGRAV                            |10,  ,  |  ,  ,  |  ,  ,  |
|   204|     20316   |             |CIUBERE FLORI                           |10,  ,  |  ,  ,  |  ,  ,  |
|   205|     20317   |             |CAPAC WC                                |10,  ,  |  ,  ,  |  ,  ,  |
|   206|     20318   |             |SPALATOR INOX                           |10,  ,  |  ,  ,  |  ,  ,  |
|   207|     20319   |             |CALCULATOR CITIZEN 8820                 |10,  ,  |  ,  ,  |  ,  ,  |
