                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|   54| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.09 |     22.000|       1955208 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   55| HALATE ALBE                              |   20014|   buc    |  NOU  |      88873.05 |     22.000|       1955207 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|   56| MASCA PROTECTIE SUDURA                   |   20015|   buc    |  NOU  |      58824.00 |      1.000|         58824 |109|FO| 1|52| 3| 1|01/01/2003|    11.944 |
|   57| MASCA PROTECTIE SUDURA                   |   20015|   buc    |  NOU  |      58824.00 |      1.000|         58824 |109|FO| 1|59| 3| 1|01/01/2003|    11.944 |
|   58| HAQLATE DOC                              |   20016|   buc    |  NOU  |      10204.50 |      2.000|         20409 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   59| HAQLATE DOC                              |   20016|   buc    |  NOU  |      10204.75 |      4.000|         40819 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   60| GALETI ZINCATE                           |   20017|   buc    |  NOU  |       3568.00 |      1.000|          3568 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|   61| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.25 |      4.000|         61837 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   62| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.00 |      2.000|         30918 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|   63| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.00 |      2.000|         30918 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|   64| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.00 |      1.000|         15459 |109|FO| 1|52| 3| 1|01/01/2003|    11.944 |
|   65| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.00 |      1.000|         15459 |109|FO| 1|57| 3| 1|01/01/2003|    11.944 |
|   66| TIRNACOP                                 |   20019|   buc    |  NOU  |      15459.00 |      1.000|         15459 |109|FO| 1|59| 3| 1|01/01/2003|    11.944 |
|   67| POLIZOR                                  |   20023|   buc    |  NOU  |     121619.00 |      1.000|        121619 |109|FO| 1|53| 3| 1|01/01/2003|    11.944 |
|   68| GRILAJ FIER                              |   20026|    kg    |  NOU  |       1238.40 |     65.000|         80496 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|   69| FURTUN D 16                              |   20027|    ml    |  NOU  |       1729.16 |    122.000|        210958 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   70| FURTUN D 16                              |   20027|    ml    |  NOU  |       1743.29 |    122.000|        212681 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   71| FURTUN D 16                              |   20027|    ml    |  NOU  |       1729.20 |     10.000|         17292 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   72| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.08 |     13.000|       1050284 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   73| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.10 |     29.000|       2342942 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   74| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.17 |      6.000|        484747 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   75| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.10 |     10.000|        807911 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
