                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2004 - 08/05/2004


                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|  145|   20222| TRUSA CHEI FIXE                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |         14576 |               |         14576 |
|  146|   20226| RADIOCASET AUTO                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |        128570 |               |        128570 |
|  147|   20227| COVORASE AUTO                           | buc        | NOU     |    0     |    8     |    0     |    8     |               |         28764 |               |         28764 |
|  148|   20231| MASA HOL MD 121                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |        733290 |               |        733290 |
|  149|   20232| FOTOLIU EXT                             | buc        | NOU     |    0     |    1     |    0     |    1     |               |       1598594 |               |       1598594 |
|  150|   20233| COLOP STAMPILE                          | buc        | NOU     |    0     |    21    |    0     |    21    |               |        429823 |               |        429823 |
|  151|   20235| TRUSA SCULE                             | buc        | NOU     |    0     |    2     |    0     |    2     |               |        266376 |               |        266376 |
|  152|   20236| JALUZELE                                | buc        | NOU     |    0     |    6     |    0     |    6     |               |        244116 |               |        244116 |
|  153|   20238| SOBA TERACOTA                           | buc        | NOU     |    0     |    1     |    0     |    1     |               |        345232 |               |        345232 |
|  154|   20239| CIOCAN 1.5 KG                           | buc        | NOU     |    0     |    3     |    0     |    3     |               |         71247 |               |         71247 |
|  155|   20241| MASINA CUSUT                            | buc        | NOU     |    0     |    1     |    0     |    1     |               |        998351 |               |        998351 |
|  156|   20242| TELEVIZOR SPORT                         | buc        | NOU     |    0     |    2     |    0     |    2     |               |        293254 |               |        293254 |
|  157|   20243| TELEVIZOR CU ANTENA                     | buc        | NOU     |    0     |    1     |    0     |    1     |               |        421007 |               |        421007 |
|  158|   20264| TONETE TIP APROZAR                      | buc        | NOU     |    0     |    18    |    0     |    18    |               |        403564 |               |        403564 |
|  159|   20265| MESE MOZAICATE TIP I                    | buc        | NOU     |    0     |   197    |    0     |   197    |               |       1896010 |               |       1896010 |
|  160|   20266| MESE MOZ TIP II                         | buc        | NOU     |    0     |   346    |    0     |   346    |               |       1951380 |               |       1951380 |
|  161|   20267| CLESTE TAIAT                            | buc        | NOU     |    0     |    2     |    0     |    2     |               |         66106 |               |         66106 |
|  162|   20268| CLESTE SUEDEZ                           | buc        | NOU     |    0     |    1     |    0     |    1     |               |        162555 |               |        162555 |
|  163|   20270| SURUBELNITE                             | buc        | NOU     |    0     |    10    |    0     |    10    |               |         77462 |               |         77462 |
|  164|   20271| BOILER 5O L                             | buc        | NOU     |    0     |    1     |    0     |    1     |               |        199153 |               |        199153 |
|  165|   20272| BOILER 85 L                             | buc        | NOU     |    0     |    18    |    0     |    18    |               |       5037506 |               |       5037506 |
|  166|   20274| BROASCA BIROU                           | buc        | NOU     |    0     |    1     |    0     |    1     |               |         37179 |               |         37179 |
|  167|   20275| CISME PVC                               | per        | NOU     |    0     |    1     |    0     |    1     |               |         49843 |               |         49843 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  08/05/2004                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     4
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|  168|   20276| BROASCA YALA                            | buc        | NOU     |    0     |    10    |    0     |    10    |               |        342443 |               |        342443 |
|  169|   20277| HUSA NOKIA                              | buc        | NOU     |    0     |    2     |    0     |    2     |               |        148043 |               |        148043 |
|  170|   20278| MATASE DECORATIVA                       | ml         | NOU     |    0     |    6     |    0     |    6     |               |        130410 |               |        130410 |
|  171|   20279| STIPLEXURI INSCRIPTIONATE               | buc        | NOU     |    0     |    6     |    0     |    6     |               |       2040525 |               |       2040525 |
|  172|   20280| CAPSATOR                                | buc        | NOU     |    0     |    1     |    0     |    1     |               |         17214 |               |         17214 |
|  173|   20281| PERFORATOR                              | buc        | NOU     |    0     |    3     |    0     |    3     |               |         61756 |               |         61756 |
|  174|   20282| LACATE                                  | buc        | NOU     |    0     |    33    |    0     |    33    |               |        235695 |               |        235695 |
|  175|   20283| TRUSA CHEI                              | buc        | NOU     |    0     |    3     |    0     |    3     |               |        509973 |               |        509973 |
|  176|   20284| TREPIED SUPORT CIRLIGE                  | buc        | NOU     |    0     |    2     |    0     |    2     |               |        509092 |               |        509092 |
|  177|   20285| BOILER 5 L                              | buc        | NOU     |    0     |    3     |    0     |    3     |               |        913946 |               |        913946 |
|  178|   20286| VITRINE BOXE 150X40X60                  | buc        | NOU     |    0     |    37    |    0     |    37    |               |      44293365 |               |      44293365 |
|  179|   20287| VITRINE 100X60X80                       | buc        | NOU     |    0     |    4     |    0     |    4     |               |       1199508 |               |       1199508 |
|  180|   20288| FERSTRE MOBILE                          | buc        | NOU     |    0     |    15    |    0     |    15    |               |        579442 |               |        579442 |
|  181|   20289| PROSOAPE CRISTAL                        | buc        | NOU     |    0     |    20    |    0     |    20    |               |        748753 |               |        748753 |
|  182|   20290| CLESTE COMBINAT                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |         27690 |               |         27690 |
